ID	  Length	  Rec_rate	  Mut_rate
chr1	249250621	1.14856E-08	1.29E-08
chr2	243199373	1.10543E-08	1.29E-08
chr3	198022430	1.12796E-08	1.29E-08
chr4	191154276	1.12312E-08	1.29E-08
chr5	180915260	1.12809E-08	1.29E-08
chr6	171115067	1.12229E-08	1.29E-08
chr7	159138663	1.17646E-08	1.29E-08
chr8	146364022	1.14785E-08	1.29E-08
chr9	141213431	1.17807E-08	1.29E-08
chr10	135534747	1.33651E-08	1.29E-08
chr11	135006516	1.17193E-08	1.29E-08
chr12	133851895	1.30502E-08	1.29E-08
chr13	115169878	1.09149E-08	1.29E-08
chr14	107349540	1.11973E-08	1.29E-08
chr15	102531392	1.38358E-08	1.29E-08
chr16	90354753	1.48346E-08	1.29E-08
chr17	81195210	1.58249E-08	1.29E-08
chr18	78077248	1.5076E-08	1.29E-08
chr19	59128983	1.82201E-08	1.29E-08
chr20	63025520	1.71783E-08	1.29E-08
chr21	48129895	1.30452E-08	1.29E-08
chr22	51304566	1.4445E-08	1.29E-08
chrX	155270560	1.16466E-08	1.29E-08
chrY	59373566	0	          1.29E-08
